"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"52","UNIV OF SOUTH ALABAMA MEDICAL CENTER","MOBILE","AL","MOBILE","13","12","27","37","15","14"
"53","WALKER BAPTIST MEDICAL CENTER","JASPER","AL","WALKER","85","68","214","249","261","285"
"54","PROVIDENCE HOSPITAL","MOBILE","AL","MOBILE","191","200","478","568","451","465"
"55","GROVE HILL MEMORIAL HOSPITAL","GROVE HILL","AL","CLARKE","3","1","34","49","26","23"
"56","D C H REGIONAL MEDICAL CENTER","TUSCALOOSA","AL","TUSCALOOSA","337","347","882","1087","693","726"
"57","HALE COUNTY HOSPITAL","GREENSBORO","AL","HALE","3","1","45","59","36","42"
"58","ELMORE COMMUNITY HOSPITAL","WETUMPKA","AL","ELMORE","20","15","47","55","66","67"
"59","D W MCMILLAN MEMORIAL HOSPITAL","BREWTON","AL","ESCAMBIA","27","8","104","108","153","153"
"60","THOMAS HOSPITAL","FAIRHOPE","AL","BALDWIN","184","213","317","372","192","197"
"61","CITIZENS BAPTIST MEDICAL CENTER","TALLADEGA","AL","TALLADEGA","33","21","113","132","96","100"
"62","J PAUL JONES HOSPITAL","CAMDEN","AL","WILCOX","2","2","19","23","38","45"
"63","BAPTIST MEDICAL CENTER-PRINCETON","BIRMINGHAM","AL","JEFFERSON","312","358","350","468","292","322"
"64","TRINITY MEDICAL CENTER","BIRMINGHAM","AL","JEFFERSON","320","355","356","436","246","264"
"65","PRATTVILLE BAPTIST HOSPITAL","PRATTVILLE","AL","AUTAUGA","28","14","108","127","211","223"
"66","PICKENS COUNTY MEDICAL CENTER","CARROLLTON","AL","PICKENS","13","9","55","69","135","139"
"67","BULLOCK COUNTY HOSPITAL","UNION SPRINGS","AL","BULLOCK","2","1","37","39","26","24"
"68","BRYAN W WHITFIELD MEM HOSP INC","DEMOPOLIS","AL","MARENGO","19","11","122","161","113","130"
"69","MOBILE INFIRMARY","MOBILE","AL","MOBILE","247","246","798","1018","612","681"
"70","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","BESSEMER","AL","JEFFERSON","111","92","187","222","197","206"
"71","VAUGHAN REG MED CENTER PARKWAY CAMPUS","SELMA","AL","DALLAS","111","101","318","371","229","238"
"72","MONROE COUNTY HOSPITAL","MONROEVILLE","AL","MONROE","24","22","123","164","167","174"
"73","LAKELAND COMMUNITY HOSPITAL","HALEYVILLE","AL","WINSTON","17","9","114","133","333","353"
"74","TROY REGIONAL MEDICAL CENTER","TROY","AL","PIKE","15","7","91","141","121","134"
"75","JACKSON MEDICAL CENTER","JACKSON","AL","CLARKE","5","2","37","53","59","66"
"76","NORTH BALDWIN INFIRMARY","BAY MINETTE","AL","BALDWIN","9","5","38","49","82","90"
"77","ST VINCENT'S ST CLAIR","PELL CITY","AL","SAINT CLAIR","5","7","91","108","147","162"
"78","CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL","MADISON","177","162","303","328","306","313"
"79","COOPER GREEN MERCY HOSPITAL","BIRMINGHAM","AL","JEFFERSON","1","1","10","14","5","7"
"80","HILL HOSPITAL OF SUMTER COUNTY","YORK","AL","SUMTER","1","Not Available","1","2","2","2"
"81","BROOKWOOD MEDICAL CENTER","BIRMINGHAM","AL","JEFFERSON","224","248","416","496","516","520"
"82","SPRINGHILL MEDICAL CENTER","MOBILE","AL","MOBILE","142","138","380","526","193","191"
"83","JACKSONVILLE MEDICAL CENTER","JACKSONVILLE","AL","CALHOUN","22","13","63","62","133","130"
"84","EVERGREEN MEDICAL CENTER","EVERGREEN","AL","CONECUH","15","10","135","183","64","72"
"85","BAPTIST MEDICAL CENTER EAST","MONTGOMERY","AL","MONTGOMERY","95","56","297","362","234","252"
"86","BIRMINGHAM VA MEDICAL CENTER","BIRMINGHAM                    ","AL","JEFFERSON","98","105","195","248","140","161"
"87","L V STABLER MEMORIAL HOSPITAL","GREENVILLE","AL","BUTLER","24","11","111","134","89","88"
"88","INFIRMARY WEST","MOBILE","AL","MOBILE","9","5","58","70","54","61"
"89","SHOALS HOSPITAL","MUSCLE SHOALS","AL","COLBERT","7","4","68","81","128","143"
"90","RUSSELLVILLE HOSPITAL","RUSSELLVILLE","AL","FRANKLIN","23","21","133","155","211","227"
"91","COOSA VALLEY MEDICAL CENTER","SYLACAUGA","AL","TALLADEGA","37","26","149","206","230","240"
"92","JACK HUGHSTON MEMORIAL HOSPITAL","PHENIX CITY","AL","RUSSELL","11","7","36","45","63","71"
"93","ATMORE COMMUNITY HOSPITAL","ATMORE","AL","ESCAMBIA","16","11","130","171","91","101"
"94","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","MONTGOMERY                    ","AL","MONTGOMERY","18","15","62","68","119","120"
"95","TUSCALOOSA VA MEDICAL CENTER","TUSCALOOSA                    ","AL","TUSCALOOSA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"96","WASHINGTON COUNTY HOSPITAL","CHATOM","AL","WASHINGTON","3","2","24","28","21","18"
"97","RED BAY HOSPITAL","RED BAY","AL","FRANKLIN","3","2","31","35","48","56"
"98","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","MOBILE","AL","MOBILE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"99","PROVIDENCE ALASKA MEDICAL CENTER","ANCHORAGE","AK","ANCHORAGE","280","303","368","462","269","301"
"100","MAT-SU REGIONAL MEDICAL CENTER","PALMER","AK","MATANUSKA SUSITNA","69","65","110","133","193","221"
"101","BARTLETT REGIONAL HOSPITAL","JUNEAU","AK","JUNEAU","24","17","44","50","80","77"
"102","FAIRBANKS MEMORIAL HOSPITAL","FAIRBANKS","AK","FAIRBANKS NORTH STAR","64","53","107","113","105","122"
"103","ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK","ANCHORAGE","67","86","74","82","74","74"
"104","YUKON KUSKOKWIM DELTA REG HOSPITAL","BETHEL","AK","BETHEL","1","2","32","37","152","172"
"105","CENTRAL PENINSULA GENERAL HOSPITAL","SOLDOTNA","AK","KENAI PENINSULA","14","13","50","67","93","104"
"106","ALASKA NATIVE MEDICAL CENTER","ANCHORAGE","AK","ANCHORAGE","33","28","69","90","135","145"
"107","MT EDGECUMBE HOSPITAL","SITKA","AK","SITKA","2","1","20","23","46","43"
"108","PROVIDENCE VALDEZ MEDICAL CENTER","VALDEZ","AK","VALDEZ CORDOVA","1","1","6","6","10","12"
"109","PROVIDENCE SEWARD HOSPITAL","SEWARD","AK","KENAI PENINSULA","2","2","5","6","8","7"
"110","SITKA COMMUNITY HOSPITAL","SITKA","AK","SITKA","8","4","8","6","29","30"
"111","PROVIDENCE KODIAK ISLAND MEDICAL CTR","KODIAK","AK","KODIAK ISLAND","3","3","24","29","35","37"
"112","CORDOVA COMMUNITY MEDICAL CENTER","CORDOVA","AK","VALDEZ CORDOVA","2","1","1","1","5","3"
"113","NORTON SOUND REGIONAL HOSPITAL","NOME","AK","NOME","2","2","15","15","28","25"
"114","PEACEHEALTH KETCHIKAN MEDICAL             CENTER","KETCHIKAN","AK","KETCHIKAN GATEWAY","13","4","41","39","74","75"
"115","SOUTH PENINSULA HOSPITAL","HOMER","AK","KENAI PENINSULA","11","5","25","29","61","68"
"116","MARYVALE HOSPITAL","PHOENIX","AZ","MARICOPA","24","19","33","44","31","32"
"117","BANNER GOOD SAMARITAN MEDICAL CENTER","PHOENIX","AZ","MARICOPA","183","256","315","428","180","190"
"118","TUCSON MEDICAL CENTER","TUCSON","AZ","PIMA","359","405","413","481","422","454"
"119","VERDE VALLEY MEDICAL CENTER","COTTONWOOD","AZ","YAVAPAI","125","109","163","177","225","234"
"120","CARONDELET ST  MARYS HOSPITAL","TUCSON","AZ","PIMA","198","184","198","239","201","222"
"121","CARONDELET ST JOSEPHS HOSPITAL","TUCSON","AZ","PIMA","214","193","320","368","402","422"
"122","YAVAPAI REGIONAL MEDICAL CENTER","PRESCOTT","AZ","YAVAPAI","286","296","259","311","418","461"
"123","YUMA REGIONAL MEDICAL CENTER","YUMA","AZ","YUMA","503","512","524","636","833","896"
"124","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","PHOENIX","AZ","MARICOPA","120","118","215","263","189","204"
"125","CASA GRANDE REGIONAL MEDICAL CENTER","CASA GRANDE","AZ","PINAL","73","38","144","169","220","235"
"126","MARICOPA MEDICAL CENTER","PHOENIX","AZ","MARICOPA","6","4","20","29","23","31"
"127","FLAGSTAFF MEDICAL CENTER","FLAGSTAFF","AZ","COCONINO","157","164","163","183","242","247"
"128","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","PHOENIX","AZ","MARICOPA","144","159","172","229","154","172"
"129","PHOENIX BAPTIST HOSPITAL","PHOENIX","AZ","MARICOPA","93","91","117","156","81","88"
"130","PAYSON REGIONAL MEDICAL CENTER","PAYSON","AZ","GILA","23","7","79","85","73","80"
"131","CHANDLER REGIONAL MEDICAL CENTER","CHANDLER","AZ","MARICOPA","211","254","301","353","364","406"
"132","ST LUKES MEDICAL CENTER","PHOENIX","AZ","MARICOPA","39","42","45","64","51","53"
"133","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","SCOTTSDALE","AZ","MARICOPA","176","172","399","480","368","392"
"134","SIERRA VISTA REGIONAL HEALTH CENTER INC","SIERRA VISTA","AZ","COCHISE","135","89","199","223","222","221"
"135","KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ","MOHAVE","177","168","323","405","416","416"
"136","BANNER BOSWELL MEDICAL CENTER","SUN CITY","AZ","MARICOPA","459","513","657","867","589","626"
"137","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","SHOW LOW","AZ","NAVAJO","46","38","70","75","158","166"
"138","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","TUCSON","AZ","PIMA","225","258","218","328","251","276"
"139","BANNER DESERT MEDICAL CENTER","MESA","AZ","MARICOPA","162","161","295","353","321","330"
"140","LA PAZ REGIONAL HOSPITAL","PARKER","AZ","LA PAZ","38","31","56","67","126","135"
"141","MT GRAHAM REGIONAL MEDICAL CENTER","SAFFORD","AZ","GRAHAM","14","12","63","66","157","173"
"142","HAVASU REGIONAL MEDICAL CENTER","LAKE HAVASU CITY","AZ","MOHAVE","202","182","271","311","225","222"
"143","FORT DEFIANCE INDIAN HOSPITAL","FORT DEFIANCE","AZ","APACHE","7","4","22","32","151","160"
"144","TUBA CITY REGIONAL HEALTH CARE CORPORATION","TUBA CITY","AZ","COCONINO","7","3","47","63","220","227"
"145","SELLS INDIAN HEALTH SERVICE HOSPITAL","SELLS","AZ","PIMA","Not Available","Not Available","1","1","7","9"
"146","SAN CARLOS INDIAN HOSPITAL","SAN CARLOS","AZ","GILA","Not Available","Not Available","1","1","4","4"
"147","PHOENIX INDIAN MEDICAL CENTER","PHOENIX","AZ","MARICOPA","Not Available","Not Available","5","7","41","40"
"148","PARADISE VALLEY HOSPITAL","PHOENIX","AZ","MARICOPA","34","33","62","83","120","132"
"149","CHINLE COMPREHENSIVE HEALTH CARE FACILITY","CHINLE","AZ","APACHE","9","9","40","55","147","185"
"150","NORTHWEST MEDICAL CENTER","TUCSON","AZ","PIMA","140","147","268","319","447","478"
"151","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","SCOTTSDALE","AZ","MARICOPA","276","304","478","563","488","544"
"152","BANNER BAYWOOD MEDICAL CENTER","MESA","AZ","MARICOPA","65","50","467","503","566","593"
"153","BANNER THUNDERBIRD MEDICAL CENTER","GLENDALE","AZ","MARICOPA","166","173","355","458","339","379"
"154","JOHN C LINCOLN DEER VALLEY HOSPITAL","PHOENIX","AZ","MARICOPA","117","130","167","209","191","199"
"155","BANNER DEL E WEBB MEDICAL CENTER","SUN CITY WEST","AZ","MARICOPA","385","353","462","561","599","647"
"156","ARROWHEAD HOSPITAL","GLENDALE","AZ","MARICOPA","63","68","136","175","169","196"
"157","CARONDELET HEART AND VASCULAR INSTITUTE","TUCSON","AZ","PIMA","231","314","238","334","83","85"
"158","WESTERN ARIZONA REGIONAL MEDICAL CTR","BULLHEAD CITY","AZ","MOHAVE","162","148","331","393","177","179"
"159","MAYO CLINIC HOSPITAL","PHOENIX","AZ","MARICOPA","231","250","385","498","456","550"
"160","BANNER HEART HOSPITAL","MESA","AZ","MARICOPA","428","491","599","860","19","26"
"161","ARIZONA SPINE AND JOINT HOSPITAL","MESA","AZ","MARICOPA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"162","SURGICAL SPECIALTY HOSPITAL OF ARIZONA","PHOENIX","AZ","MARICOPA","Not Available","Not Available","Not Available","Not Available","1","1"
"163","WEST VALLEY HOSPITAL","GOODYEAR","AZ","MARICOPA","95","91","116","128","115","138"
"164","UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE","TUCSON","AZ","PIMA","73","64","50","52","57","67"
"165","ARIZONA ORTHOPEDIC SURGICAL HOSPITAL","CHANDLER","AZ","MARICOPA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"166","WHITERIVER PHS INDIAN HOSPITAL","WHITERIVER","AZ","NAVAJO","Not Available","Not Available","12","16","63","75"
"167","ORO VALLEY HOSPITAL","ORO VALLEY","AZ","PIMA","101","98","142","177","184","191"
"168","BANNER ESTRELLA MEDICAL CENTER","PHOENIX","AZ","MARICOPA","98","98","148","185","221","228"
"169","VALLEY VIEW MEDICAL CENTER","FORT MOHAVE","AZ","MOHAVE","72","62","138","159","114","112"
"170","YAVAPAI REGIONAL MEDICAL CENTER-EAST","PRESCOTT VALLEY","AZ","YAVAPAI","17","12","85","113","198","215"
"171","MERCY GILBERT MEDICAL CENTER","GILBERT","AZ","MARICOPA","99","86","177","230","274","301"
"172","GILBERT HOSPITAL","GILBERT","AZ","MARICOPA","3","2","71","84","108","120"
"173","MOUNTAIN VISTA MEDICAL CENTER, LP","MESA","AZ","MARICOPA","131","137","293","343","266","310"
"174","BANNER GATEWAY MEDICAL CENTER","GILBERT","AZ","MARICOPA","29","18","150","176","155","171"
"175","SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL","SCOTTSDALE","AZ","MARICOPA","19","5","83","107","107","137"
"176","ARIZONA REGIONAL MEDICAL CENTER","MESA","AZ","MARICOPA","59","55","90","116","55","65"
"177","BANNER IRONWOOD MEDICAL CENTER","SAN TAN VALLEY","AZ","PINAL","Not Available","Not Available","2","5","10","14"
"178","OASIS HOSPITAL","PHOENIX","AZ","MARICOPA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"179","VA NORTHERN ARIZONA HEALTHCARE SYSTEM","PRESCOTT                      ","AZ","YAVAPAI","18","14","107","123","170","184"
"180","WICKENBURG COMMUNITY HOSPITAL","WICKENBURG","AZ","MARICOPA","5","2","33","41","76","78"
"181","BENSON HOSPITAL","BENSON","AZ","COCHISE","1","1","23","30","49","48"
"182","NORTHERN COCHISE COMMUNITY HOSPITAL","WILLCOX","AZ","COCHISE","3","2","24","31","60","60"
"183","SOUTHEAST ARIZONA MEDICAL CENTER","DOUGLAS","AZ","COCHISE","Not Available","Not Available","5","5","26","27"
"184","PAGE HOSPITAL","PAGE","AZ","COCONINO","1","1","8","12","16","19"
"185","HOPI HEALTH CARE CENTER","POLACCA","AZ","NAVAJO","1","1","8","13","27","52"
"186","SAGE MEMORIAL HOSPITAL","GANADO","AZ","APACHE","Not Available","Not Available","8","8","58","68"
"187","LITTLE COLORADO MEDICAL CENTER","WINSLOW","AZ","NAVAJO","2","2","17","24","84","94"
"188","COPPER QUEEN COMMUNITY HOSPITAL","BISBEE","AZ","COCHISE","4","3","14","13","26","25"
"189","CARONDELET HOLY CROSS HOSPITAL","NOGALES","AZ","SANTA CRUZ","Not Available","Not Available","8","10","16","18"
"190","COBRE VALLEY REGIONAL MEDICAL CENTER","GLOBE","AZ","GILA","32","32","165","202","121","130"
"191","WHITE MOUNTAIN REGIONAL MEDICAL CENTER","SPRINGERVILLE","AZ","APACHE","5","2","17","23","30","32"
"192","PHOENIX CHILDREN'S HOSPITAL","PHOENIX","AZ","MARICOPA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"193","SILOAM SPRINGS MEMORIAL HOSPITAL","SILOAM SPRINGS","AR","BENTON","26","11","81","104","157","149"
"194","JOHNSON REGIONAL MEDICAL CENTER","CLARKSVILLE","AR","JOHNSON","42","43","78","79","202","206"
"195","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","FAYETTEVILLE","AR","WASHINGTON","291","309","399","509","432","457"
"196","ST VINCENT INFIRMARY MEDICAL CENTER","LITTLE ROCK","AR","PULASKI","191","183","599","708","419","438"
"197","MERCY MEDICAL CENTER","ROGERS","AR","BENTON","214","218","288","354","319","333"
"198","JOHN ED CHAMBERS MEM HOSP, INC","DANVILLE","AR","YELL","25","20","100","125","101","104"
"199","WHITE COUNTY MEDICAL CENTER","SEARCY","AR","WHITE","275","258","646","769","737","771"
"200","MENA REGIONAL HEALTH SYSTEM","MENA","AR","POLK","23","15","90","98","139","144"
"201","UAMS MEDICAL CENTER","LITTLE ROCK","AR","PULASKI","98","95","164","228","305","365"
"202","NORTH ARKANSAS REGIONAL MEDICAL CENTER","HARRISON","AR","BOONE","61","33","176","188","702","789"
"203","SUMMIT MEDICAL CENTER","VAN BUREN","AR","CRAWFORD","20","11","81","87","143","165"
"204","FORREST CITY MEDICAL CENTER","FORREST CITY","AR","SAINT FRANCIS","18","8","51","69","108","103"
"205","ST BERNARDS MEDICAL CTR","JONESBORO","AR","CRAIGHEAD","399","413","566","743","599","642"
"206","NW ARKANSAS HOSPITALS, LLC","SPRINGDALE","AR","WASHINGTON","296","293","522","614","465","464"
"207","ST JOSEPHS MERCY HEALTH CENTER INC","HOT SPRINGS","AR","GARLAND","229","243","582","657","818","877"
"208","BAXTER REGIONAL MEDICAL CENTER","MOUNTAIN HOME","AR","BAXTER","373","381","423","561","726","774"
"209","CONWAY REGIONAL MEDICAL CENTER","CONWAY","AR","FAULKNER","186","161","227","236","441","438"
"210","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","NORTH LITTLE ROCK","AR","PULASKI","364","373","529","673","445","465"
"211","ARKANSAS METHODIST MEDICAL CENTER","PARAGOULD","AR","GREENE","203","195","240","284","373","390"
"212","ST MARYS REGIONAL MEDICAL CENTER","RUSSELLVILLE","AR","POPE","89","50","204","242","360","366"
"213","CRITTENDEN MEMORIAL HOSPITAL","WEST MEMPHIS","AR","CRITTENDEN","38","25","185","244","171","174"
"214","FIVE RIVERS MEDICAL CENTER","POCAHONTAS","AR","RANDOLPH","20","11","102","113","237","267"
"215","OUACHITA COUNTY MEDICAL CENTER","CAMDEN","AR","OUACHITA","23","7","132","153","115","112"
"216","DREW MEMORIAL HOSPITAL","MONTICELLO","AR","DREW","13","7","103","122","215","233"
"217","SPARKS REGIONAL MEDICAL CENTER","FORT SMITH","AR","SEBASTIAN","387","376","505","597","579","630"
"218","ST EDWARD MERCY MEDICAL CENTER","FORT SMITH","AR","SEBASTIAN","307","307","477","549","487","526"
"219","MAGNOLIA HOSPITAL","MAGNOLIA","AR","COLUMBIA","10","3","159","200","113","117"
"220","GREAT RIVER MEDICAL CENTER","BLYTHEVILLE","AR","MISSISSIPPI","15","4","66","80","89","92"
"221","JEFFERSON REGIONAL MEDICAL CENTER","PINE BLUFF","AR","JEFFERSON","180","174","274","354","255","300"
"222","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","STUTTGART","AR","ARKANSAS","35","20","111","126","96","89"
"223","NORTH METRO MEDICAL CENTER","JACKSONVILLE","AR","PULASKI","29","12","117","128","213","229"
"224","HOT SPRING COUNTY MEDICAL CENTER","MALVERN","AR","HOT SPRING","27","14","131","148","308","347"
"225","NATIONAL PARK MEDICAL CENTER","HOT SPRINGS","AR","GARLAND","87","92","201","224","274","274"
"226","HARRIS HOSPITAL","NEWPORT","AR","JACKSON","27","8","132","167","193","202"
"227","SALINE MEMORIAL HOSPITAL","BENTON","AR","SALINE","103","95","230","261","300","319"
"228","HELENA REGIONAL MEDICAL CENTER","HELENA","AR","PHILLIPS","20","4","172","214","123","122"
"229","MEDICAL CENTER SOUTH ARKANSAS","EL DORADO","AR","UNION","154","131","309","370","253","257"
"230","MEDICAL PARK HOSPITAL","HOPE","AR","HEMPSTEAD","39","20","135","164","238","251"
"231","FAYETTEVILLE AR VA MEDICAL CENTER","FAYETTEVILLE                  ","AR","WASHINGTON","39","24","184","208","335","371"
"232","VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","LITTLE ROCK                   ","AR","PULASKI","187","209","482","588","672","736"
"233","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","LITTLE ROCK","AR","PULASKI","535","597","893","1109","712","747"
"234","NEA BAPTIST MEMORIAL HOSPITAL","JONESBORO","AR","CRAIGHEAD","181","187","316","399","413","420"
"235","WHITE RIVER MEDICAL CENTER","BATESVILLE","AR","INDEPENDENCE","261","263","418","506","576","620"
"236","LEO N LEVI NATIONAL ARTHRITIS HOSPITAL","HOT SPRINGS","AR","GARLAND","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"237","ARKANSAS HEART HOSPITAL","LITTLE ROCK","AR","PULASKI","486","645","482","806","84","102"
"238","ST VINCENT MEDICAL CENTER/NORTH","SHERWOOD","AR","PULASKI","18","11","170","209","161","160"
"239","ARKANSAS SURGICAL HOSPITAL","NO LITTLE ROCK","AR","PULASKI","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"240","PHYSICIANS' SPECIALTY HOSPITAL","FAYETTEVILLE","AR","WASHINGTON","Not Available","Not Available","2","1","1","1"
"241","NORTH LOGAN MERCY HOSPITAL","PARIS","AR","LOGAN","4","2","37","43","37","39"
"242","RIVER VALLEY MEDICAL CENTER","DARDANELLE","AR","YELL","4","3","27","34","77","73"
"243","MERCY HOSPITAL TURNER MEMORIAL","OZARK","AR","FRANKLIN","4","1","22","26","58","56"
"244","EUREKA SPRINGS HOSPITAL, LLC","EUREKA SPRINGS","AR","CARROLL","5","2","26","25","40","44"
